date,location,maxtemp,sunshine,precipitation,cloudcover,month
1990-01-01,Maastricht,0.8,0.0,-1.0,8.0,January
1990-01-02,Maastricht,2.8,0.0,-1.0,8.0,January
1990-01-03,Maastricht,2.9,0.0,0.0,5.0,January
1990-01-04,Maastricht,2.3,2.0,-1.0,5.0,January
1990-01-05,Maastricht,3.5,0.0,-1.0,8.0,January
1990-01-06,Maastricht,7.0,3.3,0.0,5.0,January
1990-01-07,Maastricht,6.4,0.0,28.0,7.0,January
1990-01-08,Maastricht,5.6,0.4,2.0,7.0,January
1990-01-09,Maastricht,7.0,0.0,8.0,8.0,January
1990-01-10,Maastricht,5.5,2.4,2.0,7.0,January
1990-01-11,Maastricht,6.9,0.0,2.0,8.0,January
1990-01-12,Maastricht,6.1,7.1,0.0,0.0,January
1990-01-13,Maastricht,4.4,0.0,4.0,7.0,January
1990-01-14,Maastricht,3.2,0.0,-1.0,6.0,January
1990-01-15,Maastricht,8.7,0.0,35.0,8.0,January
1990-01-16,Maastricht,10.2,0.0,9.0,8.0,January
1990-01-17,Maastricht,9.9,0.4,6.0,5.0,January
1990-01-18,Maastricht,6.4,5.4,0.0,3.0,January
1990-01-19,Maastricht,5.4,0.5,36.0,7.0,January
1990-01-20,Maastricht,8.9,0.0,12.0,7.0,January
1990-01-21,Maastricht,10.5,0.0,-1.0,7.0,January
1990-01-22,Maastricht,8.0,0.0,10.0,7.0,January
1990-01-23,Maastricht,9.9,0.0,156.0,7.0,January
1990-01-24,Maastricht,6.6,1.5,94.0,4.0,January
1990-01-25,Maastricht,13.0,0.0,42.0,7.0,January
1990-01-26,Maastricht,6.2,0.1,14.0,7.0,January
1990-01-27,Maastricht,8.2,1.8,44.0,6.0,January
1990-01-28,Maastricht,10.3,0.0,64.0,7.0,January
1990-01-29,Maastricht,8.3,4.8,0.0,5.0,January
1990-01-30,Maastricht,10.7,2.8,2.0,5.0,January
1990-01-31,Maastricht,11.8,0.3,-1.0,7.0,January
1990-02-01,Maastricht,10.6,5.3,0.0,5.0,February
1990-02-02,Maastricht,9.7,5.1,32.0,5.0,February
1990-02-03,Maastricht,13.4,0.6,18.0,6.0,February
1990-02-04,Maastricht,9.6,3.8,0.0,3.0,February
1990-02-05,Maastricht,13.8,8.3,0.0,1.0,February
